Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
94,41,0.57,237,250,17
86,39,0.52,233,206,24
68,30,0.41,288,227,20
62,25,0.38,269,193,29
107,48,0.65,197,224,15
103,46,0.63,240,247,21
91,40,0.55,239,236,23
72,30,0.44,229,195,14
106,47,0.65,223,259,6
106,49,0.65,199,238,4
93,44,0.57,198,233,2
81,38,0.49,209,174,9
73,30,0.45,264,229,27
105,48,0.64,213,248,12
99,47,0.6,235,239,25
99,43,0.6,226,231,11
98,46,0.6,198,219,13
95,42,0.58,233,227,18
104,47,0.63,241,261,8
99,44,0.6,194,219,5
97,44,0.59,225,258,10
87,38,0.53,234,240,3
81,34,0.49,258,215,30
103,46,0.63,195,246,7
96,44,0.59,209,216,28
96,43,0.59,229,245,19
85,37,0.52,251,218,26
74,32,0.45,250,192,16
121,54,0.74,233,318,15
80,35,0.49,256,230,23
80,34,0.49,260,217,21
77,32,0.47,244,208,14
113,51,0.69,215,264,12
107,50,0.65,202,225,11
101,46,0.62,219,241,13
89,39,0.54,251,238,25
88,37,0.54,254,237,18
112,52,0.68,209,271,10
102,44,0.62,216,229,8
100,47,0.61,225,225,5
90,40,0.55,223,225,3
79,32,0.48,259,216,30
103,49,0.63,222,272,1
95,43,0.58,233,244,20
90,40,0.55,210,204,17
84,38,0.51,246,219,24
62,27,0.38,284,214,29
103,48,0.63,191,222,9
101,47,0.62,237,257,4
88,41,0.54,225,236,6
87,38,0.53,218,222,2
79,34,0.48,264,222,27
100,45,0.61,207,235,19
94,44,0.57,238,225,16
91,39,0.55,200,206,7
88,39,0.54,223,217,28
74,30,0.45,267,214,26
117,53,0.71,204,257,12
91,42,0.55,238,245,25
83,36,0.51,257,230,18
79,36,0.48,252,208,11
79,34,0.48,234,207,13
116,53,0.71,196,274,7
93,41,0.57,247,249,28
91,41,0.55,234,250,19
83,36,0.51,237,217,16
81,34,0.49,293,250,26
112,51,0.68,244,295,8
104,46,0.63,216,264,10
92,41,0.56,233,233,3
92,41,0.56,230,226,30
88,40,0.54,233,213,5
108,50,0.66,245,272,15
97,45,0.59,226,239,23
93,41,0.57,231,234,14
66,24,0.4,279,210,21
106,51,0.65,209,244,9
99,45,0.6,239,264,4
99,44,0.6,238,264,6
95,43,0.58,218,210,2
61,26,0.37,279,201,27
100,45,0.61,220,246,1
98,46,0.6,248,254,17
89,40,0.54,200,219,24
85,38,0.52,248,234,29
69,32,0.42,257,199,20
